V15,day,period
2,Tuesday,P34
9,Tuesday,P35
7,Tuesday,P36
8,Tuesday,P37
3,Tuesday,P38
10,Tuesday,P39
9,Tuesday,P40
9,Tuesday,P41
1,Tuesday,P42
9,Tuesday,P43
2,Tuesday,P44
1,Tuesday,P45
2,Tuesday,P46
5,Tuesday,P47
0,Wednesday,P0
0,Wednesday,P1
1,Wednesday,P2
0,Wednesday,P3
0,Wednesday,P4
0,Wednesday,P5
1,Wednesday,P6
0,Wednesday,P7
0,Wednesday,P8
1,Wednesday,P9
0,Wednesday,P10
1,Wednesday,P11
4,Wednesday,P12
0,Wednesday,P13
2,Wednesday,P14
4,Wednesday,P15
10,Wednesday,P16
21,Wednesday,P17
9,Wednesday,P18
23,Wednesday,P19
9,Wednesday,P20
2,Wednesday,P21
2,Wednesday,P22
21,Wednesday,P23
6,Wednesday,P24
3,Wednesday,P25
4,Wednesday,P26
22,Wednesday,P27
7,Wednesday,P28
1,Wednesday,P29
3,Wednesday,P30
12,Wednesday,P31
3,Wednesday,P32
1,Wednesday,P33
3,Wednesday,P34
2,Wednesday,P35
19,Wednesday,P36
4,Wednesday,P37
2,Wednesday,P38
8,Wednesday,P39
6,Wednesday,P40
8,Wednesday,P41
4,Wednesday,P42
2,Wednesday,P43
4,Wednesday,P44
2,Wednesday,P45
1,Wednesday,P46
7,Wednesday,P47
2,Thursday,P0
1,Thursday,P1
0,Thursday,P2
1,Thursday,P3
1,Thursday,P4
1,Thursday,P5
0,Thursday,P6
0,Thursday,P7
0,Thursday,P8
0,Thursday,P9
0,Thursday,P10
3,Thursday,P11
2,Thursday,P12
2,Thursday,P13
3,Thursday,P14
13,Thursday,P15
4,Thursday,P16
11,Thursday,P17
4,Thursday,P18
11,Thursday,P19
13,Thursday,P20
1,Thursday,P21
1,Thursday,P22
26,Thursday,P23
15,Thursday,P24
3,Thursday,P25
3,Thursday,P26
29,Thursday,P27
6,Thursday,P28
4,Thursday,P29
2,Thursday,P30
12,Thursday,P31
4,Thursday,P32
4,Thursday,P33
4,Thursday,P34
13,Thursday,P35
5,Thursday,P36
13,Thursday,P37
5,Thursday,P38
9,Thursday,P39
1,Thursday,P40
10,Thursday,P41
1,Thursday,P42
5,Thursday,P43
0,Thursday,P44
2,Thursday,P45
1,Thursday,P46
5,Thursday,P47
0,Friday,P0
0,Friday,P1
1,Friday,P2
1,Friday,P3
0,Friday,P4
